0	0	0.5	0.000265677	0.00683821	0	0	0.000265677	0	0.00683821	0
0	0.001	0	-nan	0.00511723	-nan	2.96177e-06	-nan	-nan	0.00425007	0.000867162
0	0.002	0	-nan	0.00511723	-nan	2.96177e-06	-nan	-nan	0.00325007	0.00186716
0	0.003	0	-nan	0.00511723	-nan	2.96177e-06	-nan	-nan	0.00225007	0.00286716
0	0.004	0.5	0.00044409	0.00683821	0	0	0.00010602	0.00033807	0.00283821	0.004
0	0.005	0	-nan	0.0065161	-nan	1.03758e-07	-nan	-nan	0.00356911	0.00294699
0	0.006	0	-nan	0.0065161	-nan	1.03758e-07	-nan	-nan	0.00256911	0.00394699
0	0.007	0	-nan	0.00331624	-nan	8.28139e-06	-nan	-nan	0.00179981	0.00151643
0	0.008	0.5	0.00279429	0.00619398	0	0	0.0020939	0.00070039	0.0023	0.00389398
0	0.009	0.5	0.00279429	0.00619398	0	0	0.0010939	0.00170039	0.0013	0.00489398
0	0.01	0.5	0.00279429	0.00619398	0	0	9.39004e-05	0.00270039	0.0003	0.00589398
